Titel	Description	category
Fußball-Bundesliga: Augsburg feiert Sieg über den FC Bayern	Der FC Augsburg hat die Fußball-Bundesliga wieder ein bisschen spannender gemacht: Die Fuggerstädter gewinnen gegen Tabellenführer Bayern München mit 2:1. Am Ende mussten die Augsburger nochmal etwas zittern.	sportschau
Marktbericht: Corona-Sorgen und Tech-Rekorde	Die US-Börsen haben zum Wochenschluss keine klare Richtung gefunden. Corona-Sorgen schwappten über und lasteten auf den Standardwerten, Tech-Aktien hingegen setzten ihren Rekordlauf fort.	marktberichte
Corona-Pandemie: Warum die Hospitalisierungsrate ungeeignet ist	Jetzt ist es beschlossen: Die Hospitalisierungsinzidenz ist nun der wichtigste Indikator der Corona-Pandemie. Dabei gibt es an dieser Kennzahl große Kritik - Fachleute halten sie für ungeeignet. Isabel Lerch erklärt warum.	innenpolitik
Schütze von Kenosha: Geschworene sprechen Angeklagten frei	Der Prozess war politisch höchst aufgeladen und endete nun mit einem Freispruch: Eine Jury befand den Schützen für Kenosha in allen Anklagepunkten für nicht schuldig. Das Urteil könnte zu neuen Protesten führen.	amerika
Verfassungsgericht: Urteil zu Schulschließungen erwartet	Das Verfassungsgericht entscheidet bald, ob Schulschließungen im Kampf gegen Corona angemessen waren. Mehrere Fachgesellschaften teilten dem Gericht nach Informationen von WDR, NDR und SZ ihre Bedenken mit. Von M. Grill.	investigativ
Kommentar: Die Impfpflicht kommt in Österreich frontal	Lange war das Wort Impfpflicht für die Bundesregierung in Wien politisch tabu. Nun kommt die Auflage in Österreich also doch - flankiert von einem Lockdown. Aber das ist viel zu spät, meint Wolfgang Vichtl.	kommentar
Corona-Liveblog: ++ Söder verteidigt Bayerns Corona-Politik ++	Bayerns Ministerpräsident Markus Söder hat sein Vorgehen in der Corona-Politik trotz hoher Infektionszahlen verteidigt. FDP-Chef Lindner hält eine partielle Impfpflicht für unausweichlich. Die Entwicklungen im Liveblog.	newsticker
Corona-Impfstoff: Spahn deckelt BioNTech-Lieferungen an Ärzte	Mehr als 90 Prozent der Ärzte bestellen nach Angaben des Gesundheitsministeriums den Corona-Impfstoff von BioNTech. Damit die eingelagerten Moderna-Vakzine nicht auslaufen, soll die Bestellmenge von BioNTech nun begrenzt werden.	inland
Sozial- und Klimapaket gebilligt: Redemarathon verzögert Etappensieg für Biden	Die erste Hürde ist genommen. Der US-Kongress hat für das billionenschwere Sozial- und Klimaschutzpaket von Präsident Biden gestimmt. Doch Geduld war gefragt, denn ein Republikaner hörte gar nicht mehr auf zu reden und brach einen Rekord.	ausland
Vereinte Nationen: Millionen Afghanen von Hunger bedroht	Mindestens 18,8 Millionen Menschen in Afghanistan sind nach Angaben der UN nicht in der Lage, sich selbst zu ernähren. Zum Jahresende könnten es sogar noch mehr werden. Die UN fordert deshalb mehr finanzielle Unterstützung.	asien
Bundesrat billigt Gesetz: Machtkampf um Infektionsschutz	"Die Union nutzte die Bundesratssitzung zum neuen Infektionsschutzgesetz, um an diesem kein gutes Haar zu lassen - und stimmte dann doch zu. Das aber sei ein ""Entgegenkommen"", so NRW-Landeschef Wüst. Von Sarah Frühauf."	inland
Nach Berliner Wahlchaos: Bundeswahlleiter erhebt Einspruch gegen Ergebnis	Die Bundestagswahl in Berlin wurde von zahlreichen Pannen begleitet. Bundeswahlleiter Thiel hat nun Einspruch gegen die Ergebnisse in sechs Wahlkreisen eingelegt. Es werde geprüft, ob die Wahlfehler Auswirkungen auf die Sitzverteilung hatten.	bundestag
Katholische Kirche: Irme Stetter-Karp wird neue ZdK-Präsidentin	"Das Zentralkomitee der deutschen Katholiken hat eine neue Vorsitzende: Irme Stetter-Karp. Die 65-Jährige ist die zweite Frau an der Spitze der Organisation. In der katholischen Kirche sieht Stetter-Karp einen ""immensen Reformstau""."	inland
Viele Betriebsärzte bereiten sich aufs Boostern vor	Nach der STIKO-Empfehlung für Impf-Booster für alle ab 18 wird mit einem Ansturm auf Arztpraxen gerechnet. Auch die Betriebsärzte kommen wieder ins Spiel. Viele Unternehmen fahren ihre Kapazität wieder hoch. Von Tim Diekmann.	unternehmen
3G-Regel am Arbeitsplatz: Was Arbeitnehmer jetzt beachten müssen	3G-Regeln am Arbeitsplatz sollen künftig helfen, die Infektionsketten zu brechen. Doch wie wird an den Arbeitsstätten kontrolliert? Und was droht, wenn Arbeitnehmer die Vorgaben nicht beachten? Die Antworten im Überblick.	unternehmen
Banker sehnen sich nach höheren Zinsen	Nach der Corona-Krise auf zu neuer Stärke. Unter diesem Motto stand das diesjährige Bankertreffen in Frankfurt. Doch die Rückkehr zur Normalität ist auch in der Finanzwelt schwieriger als gedacht. Von Ursula Mayer	finanzen
Verkehrspolitik: Dauerbaustelle deutsche Autobahn	Die Autobahn ist so deutsch wie Fahren ohne Tempolimit. Ein Mythos. Die Realität: Staus und Baustellen. Wie zukunftsfähig ist die kreuzungsfreie, mehrspurige Schnellstraße? Und wie steht es um die Erhaltung? Von Werner Eckert.	innenpolitik
"tagesthemen mittendrin: Angst - ""wie auf dem Zehn-Meter-Brett"""	Psychische Erkrankungen haben in der Pandemie zugenommen. Etwa 18 Millionen Menschen sind in Deutschland betroffen. Lucretia Gather hat mit Experten gesprochen - und mit einer Patientin, bei der Begegnungen seit Corona Panik auslösen.	mittendrin
Bundesliga und Corona: Wer darf in welches Stadion?	2G, 3G, begrenzte Auslastung? Die sich zuspitzende Corona-Lage hat auch Auswirkungen auf die Regeln für Bundesliga-Klubs - und die sind nicht einheitlich. Ein Überblick über die Zugangsvoraussetzungen der Stadien.	bundesliga
Estland und Großbritannien schicken Soldaten nach Polen	"Estland und Großbritannien entsenden Soldaten nach Polen, um in der Krise an der belarusischen Grenze zu unterstützen. Kanzlerin Merkel nannte die Lage ""besorgniserregend"" und sicherte dem UN-Flüchtlingshilfswerk Unterstützung zu."	europa
Batterieforschung in Münster gestartet	Um Akkus leistungsfähiger und umweltfreundlicher zu machen, ist im westfälischen Münster ein Forschungszentrum für Batteriefertigung in Betrieb gegangen. Für Bund und Länder ein Prestigeprojekt.	technologie
Versorger erhöhen Preise: Gas ab 2022 erheblich teurer	Heute ist der Stichtag, zu dem Versorger ihre Preisanpassung für das neue Jahr melden müssen. Aktuelle Zahlen zeigen: Die Preise für Gas werden um über 20 Prozent steigen. Auch der Strompreis legt zu.	verbraucher
Corona-Pandemie: Österreich macht dicht	"Wegen hoher Corona-Zahlen gilt in Österreich ab Montag ein landesweiter Lockdown. ""Wir müssen den Realitäten ins Auge schauen,"" sagte Kanzler Schallenberg. Im Februar soll eine Impfpflicht folgen. Von Clemens Verenkotte."	ausland
"Nach Sanierung: Segelschulschiff ""Gorch Fock"" sticht in See"	"Pünktlich um zehn Uhr hat der berühmte Dreimaster seinen Heimathafen in Kiel verlassen. Nach jahrelanger Sanierung ist die ""Gorch Fock"" nun wieder auf großer Ausbildungsreise. Das Ziel: die Kanarischen Inseln."	nachrichten
Bayern verhängt in Kreisen mit Inzidenz über 1000 Lockdown	Bars und Klubs schließen, Weihnachtsmärkte abgesagt: Bayern hat seine Corona-Maßnahmen drastisch verschärft. In Landkreisen mit einer Inzidenz über 1000 werde ein Lockdown verhängt, erklärte Ministerpräsident Söder.	inland
"Corona-Lage in Sachsen: ""Wie ein Flächenbrand"""	Die vierte Corona-Welle trifft den Landkreis Sächsische Schweiz-Osterzgebirge in Sachsen besonders hart. Die Inzidenz liegt über 1000, die Intensivstationen sind ausgelastet. Droht diese Entwicklung bundesweit? Von Kristin Kielon.	inland
Infektionsschutzgesetz: Ab Mittwoch gilt 3G am Arbeitsplatz	Mit dem neuen Infektionsschutzgesetz gilt ab kommendem Mittwoch die 3G-Regel am Arbeitsplatz: Beschäftigte müssen vor Betreten ihrer Arbeitsstätte nachweisen, dass sie geimpft, genesen oder negativ getestet sind.	unternehmen
Erzeugerpreise mit stärkstem Anstieg seit 1951	Die Erzeugerpreise, die als Indikator für die Inflation gelten, bleiben auf Rekordjagd. Allein im Oktober sind sie um mehr als 18 Prozent in die Höhe geschossen - und damit stärker als in der Ölkrise.	konjunktur
Reisen in Corona-Zeiten: Was wird aus dieser Skisaison?	Die Skiorte in den Alpen hoffen auf eine halbwegs normale Wintersaison. Ist das angesichts der Corona-Entwicklung realistisch? Und unter welchen Bedingungen könnte es gehen? Von Holger Schwesinger.	ausland
Mehrere Branchen sind für 2G statt 3G	Vertreter der Baubranche, mehrerer Handwerksberufe und Dienstleister halten eine 3G-Regel am Arbeitsplatz für nicht praktikabel. Sie plädieren stattdessen für die Einführung von 2G.	konjunktur
Sexismusvorwürfe: Druck auf Spieleentwickler Activision Blizzard	"Activision Blizzard, bekannt durch Games wie ""Candy Crush"", steht wegen Sexismusvorwürfen unter Beschuss. Die Unternehmenskultur sei nachhaltig frauenfeindlich, so der Vorwurf. Die derzeitige Co-Chefin wirft das Handtuch. Von Katharina Wilhelm."	unternehmen
"Corona-Lage: ""Deutschland ist ein einziger großer Ausbruch"""	Gesundheitsminister Spahn und RKI-Chef Wieler haben vor einer Verschärfung der Corona-Lage gewarnt. Allein mit 2G könne die vierte Welle nicht gebremst werden. Wieler warb dafür, Kontakte zu reduzieren und Großveranstaltungen abzusagen.	inland
Rekordschaden für Versicherungen im Dieselskandal	Sechs Jahre nach Bekanntwerden des Abgasskandals steigen die Prozesskosten für Rechtsschutzversicherer weiter an und erreichen ein Rekordniveau. Derweil holt die Affäre auch Zulieferer Conti ein.	finanzen
Nach Misserfolg mit Covid-Impfstoff: CureVac wagt Neuanfang	Das Rennen um einen wirksamen Impfstoff gegen Covid-19 hat CureVac lange verloren. Dennoch verfolgt das Tübinger Biotech-Unternehmen weiter das Ziel, ein neues Vakzin zu entwickeln.	unternehmen
